id,role,evidence_class,tracked_source,generated_source,intended_placement,caption_boundary
F1,deceptive repair hero,fresh synthetic selected case,docs/readme_assets/02_deceptive_repair.svg,visualization/data/hero_case_ofc_2026-09-21.json,Figure 1,"post-hoc visualization only; 14.93% ordinary improvement; 9.03% untouched-target worsening"
F2,proposal landscape,fresh synthetic follow-on,docs/readme_assets/03_deception_map.svg,visualization/data/ofc_proposals_visualization_2026-09-21.csv,Figure 1 or 3,"fresh OFC population is 12 deceptive / 24 beneficial; do not use D4V 14/22 counts"
F3,same probe intuition,solver replay evidence,docs/readme_assets/04_same_probe.svg,build/reality-probe-explainer/replay,Figure 2,"same frozen physical probe; display motion may be magnified"
F4,response overlay,solver replay evidence,docs/readme_assets/05_response_overlay.svg,build/reality-probe-explainer/replay,Figure 2,"truth and repair response overlay from frozen replay"
F5,mechanism fingerprint,solver replay plus explanatory arrangement,docs/readme_assets/06_fingerprint.svg,build/reality-probe-explainer/replay,Figure 2,"fingerprint is an explanatory arrangement of response bundles, not an invented dense linear operator"
F6,residual field,solver replay evidence,docs/readme_assets/07_residual_field.svg,build/reality-probe-explainer/replay,Figure 2,"field is repair-to-truth response magnitude with common directional normalization"
F7,DCS intuition,schematic,docs/readme_assets/08_dcs_intuition.svg,visualization/explainer/render.py,Method figure or supplement,"second-difference illustration is schematic; implemented DCS uses optimized order-2 stencil"
F8,standardized evidence,explanatory summary,docs/readme_assets/09_standardization.svg,research/status/DCS_MATH_IMPLEMENTATION_AUDIT_2026-09-21.md,Method/Results bridge,"exact uncertainty definition must come from protocol/audit"
F9,signal gain,fresh synthetic follow-on,docs/readme_assets/10_signal_gain.svg,research/results/ORTHOGONAL_FORCE_COMPLIANCE_RESULT_2026-09-21.json,Figure 6,"11.455x is ratio of aggregate medians"
F10,information limit,fresh synthetic follow-on,docs/readme_assets/11_information_limit.svg,research/results/ORTHOGONAL_FORCE_COMPLIANCE_RESULT_2026-09-21.json,Figure 5 or 6,"max |z| 1.31911 remains below frozen magnitude 2; 0/36 resolved"
F11,conclusion,summary,docs/readme_assets/12_conclusion.svg,research/results/VULKAX_FINAL_RESULTS_2026-09-21.json,video/outro or supplement,"appearance agreement does not imply physical verification"
F12,ranking agreement,discovery,,build/paper-figures/fig_ranking_agreement.svg,Figure 4,"D2b/D3 matched-method comparison; DCS does not dominate"
F13,standardized separation,frozen/discovery,,build/paper-figures/fig_standardized_separation.svg,Figure 4,"show distance from frozen decision scale"
F14,numerical floor,discovery,,build/paper-figures/fig_numerical_floor.svg,Figure 4,"witness-space numerical floor falls without recovered observability"
F15,D4V proposals,discovery,,build/paper-figures/fig_d4v_proposals.svg,Figure 3 or supplement,"D4V counts are 14 deceptive / 22 beneficial / 0 resolved"
F16,GAUGE channel contradiction,retrospective measured,,build/paper-figures/fig_gauge_channel_contradiction.svg,Figure 7,"must say retrospective; longitudinal endpoint wins 9/10"
F17,information frontier,post-hoc diagnostic,,build/paper-figures/fig_information_frontier.svg,Figure 5,"post-hoc only; does not alter frozen gates"
F18,orthogonal force gain,fresh synthetic follow-on,,build/paper-figures/fig_orthogonal_force_gain.svg,Figure 6,"11.46x median signal gain; still 0 resolved"
V1,mathematical explainer,mixed frozen/fresh explanatory,docs/readme_assets/reality_probe_explainer.mp4,visualization/explainer/render.py,Supplementary video,"116 s silent deterministic vector film; no AI-generated scientific pixels"
V2,storyboard,mixed explanatory,docs/readme_assets/storyboard.png,visualization/explainer/render.py,review/planning,"12-frame summary; not a replacement for main-paper results"
S1,Stanford Bunny hero,solver-driven presentation,docs/readme_assets/reality_probe_hero_standalone.svg,visualization/assets/fetch_stanford_bunny.sh,Representative image optional,"visualization carrier only; credit Stanford Computer Graphics Laboratory"
T1,stage outcomes,mixed,,build/paper-figures/table_stage_outcomes.csv,Table 1,"preserve evidence class per stage"
T2,claim boundaries,integrity,,build/paper-figures/table_claim_boundaries.csv,Supplement,"supported vs unsupported claims"
T3,information frontier,post-hoc diagnostic,,build/paper-figures/table_information_frontier.csv,Supplement,"post-hoc only"
T4,orthogonal force compliance,fresh synthetic follow-on,,build/paper-figures/table_orthogonal_force_compliance.csv,Table 2,"same frozen threshold and proposal population"
M1,DOT C2 measured-world showcase,public measured-source presentation,,build/dot-c2-world-run/render/showcase/contact_sheet.png,Supplement,"pinned DOT C2 measured trajectory geometry; Vulkan presentation derivative; rejected rewrite is rolled back; not material-ground-truth evidence"
M2,DOT C2 held-out measured-vs-predicted geometry,public measured-source quantitative visual,paper/dot_c2_measured_heldout.tikz,build/dot-c2/calibration/selected_samples.csv,Measured-source engineering section,"latest validation checkpoint in camera-frame x/y; residual segments use true metric scale; 90-sample 3-D held-out RMS 4.417 mm; no material-ground-truth claim"\n
